[layered] start gain 8.0 threshold 0.2 kept 0.388 (57s)
[layered] ep 8 batch 2300 loss 1.326 kc 0.128 (10886s)
[layered] ep 8 batch 2400 loss 1.275 kc 0.119 (10930s)
[layered] ep 8 batch 2500 loss 1.226 kc 0.117 (10974s)
[layered] ep 8 batch 2600 loss 1.283 kc 0.110 (11018s)
[layered] ep 8 batch 2700 loss 1.265 kc 0.130 (11062s)
[layered] ep 8 batch 2800 loss 1.237 kc 0.116 (11105s)
[layered] ep 8 batch 2900 loss 1.339 kc 0.126 (11148s)
[layered] epoch 8: loss 1.309 val 0.408 (11228s)
[layered] done: test 0.418 cold 0.539 (11376s)
exit 0
